label,text
positive,Танцевальный дебют Софии состоялся. Медаль висит. Радости по самые уши)))
speech,С ДНЕМ РОЖДЕНИЯ!
positive,А за окном прекрасная весна..!
skip,"У каждого есть моменты в жизни когда хочется побыть наедине со своими мыслями, поразмышлять о том, правильный ли ты выбрал жизненный путь, правильно ли ты поступаешь в той или иной жизненной ситуации, жалеешь о чем - то, либо, наоборот гордишься своими поступками или достижениями... Но все равно жизнь одна и нужно наслаждаться каждой секундой, видеть и черпать лучшее и уверенно идти к своей цели, не взирая на все препятствия."
skip,з днем народження
skip,Любимая женская забава: набраться алкоголя - набраться смелости - набрать номер...
positive,еще к теме о безумии человеческом. они прекрасны))
skip,"Англичанки гадют ...
"
positive,Моя радость!!!!)
neutral,"Продаю мёд натуральный цветочный (подсолнечник) в розницу по оптовой цене: 3 литра (4,5 кг) - 650 руб, 1 литр (1,5 кг) - 250 руб., 0,5 литра - 130 руб. Доставка по Краснодару."
skip,"Ансамбль Государственной Думы Российской Федерации ВИА ""Поющие мандаты"""
neutral,Меня почему-то всегда притягивали молчаливые люди.
skip,пара-па-па-па...
positive,"господи, ну это идеально!!!"
neutral,"Любимому человеку прощают то, что другим не прощают, и не прощают то, что прощают другим!!!"
skip,"эй барби куда ты?
У меня тут стимуляторы и барбитураты (с)"
neutral,Город-сад Гуэль 
skip,"Бокал за тех граждан,которые ставят лайки,не огорчают своего президента"
positive,О! Кто-то новенький пришол! Здрасьти!))) Мы вам рады!)))
skip,"ахаххаха вот тебе!!!
мстя моя, стонотик"
negative,"И в будущем.....
*ругается матом* 
PS я всё ещё надеюсь, что это нелепая шутка :("
skip,Сельский рок-н-ролл
skip,"1-вого человека, который прокомментирует это я возьму фамилию в никнейм в неделю! 
2-ому человеку буду писать ""Я ЛЮБЛЮ ТЕБЯ"" на странице .. 
3-тьему отвечу на любое вопросы ... 
с 4-тым я сфоткаюсь и поставлю на аву! 
с 5-ым отвечу на 3 какие - либо вопросы 
с 6-тым - пойду побухаю: D 
с 7-тым - поставлю семейное положение на неделю 
8-ому скажу кого я люблю 
Помести это у себя на стене если ты смелый : D"
positive,УРААААААААААААААААААА БЛЯ)))))
skip,"Ребят, проголосуйте за меня) Ибо, очень уж хочется показать ошибочность выбора жюри)"
positive,Сегодня мой лучший друг купил квартиру. И планировка и качество на отлично!!! КССК.
speech,ну раз у тебя полночь?! тогда с Днем рождения Аленыч))аееее=))это твой 3 юбилей))вау...детка ты уже большая))всего тебе самого геройского))радуй нас своими позитивными комиксами)мы тебя лююююбим))
positive,"Самый офигенный подарок на 14 февраля
Love is......"
speech,Спасибо Ема =) как ты?
skip,"Когда ты любишь человека а он тебя нет у тебя в душе или даже в сердце появляется как бы игла которая пронзает твоё сердце и убивает до огромной боли...этот человек не понимает какие у тебя чувства к нему он лишь с насмешкой улыбается ...ты пытаешься доказать что это правда а он говорит что то например этого""конечно:)""это немножко злит и убивает чувства...я знаю многих девочек ну в процентах это 81% а мальчиков 9% а остальное ОБИДА....Так что дорогие девочки не сдавайтесь на пути к чувствам или любви !  ВЕРТЕ В СЕБЯ И НИКОГДА НИКОГДА НЕ СДАВАЙТЕСЬ...P.S Annutochka Kotlyar ...;)"
neutral,• отправлено через ►  ◄
neutral,ты похож на молодого Дон Кихота
skip,Адская белочка
neutral,Скидка всего 420руб за набор
negative,"Просто за считанные минуты можно разрушить крепкие отношения,всего лишь из-за пару не правильно подобранных слов......"
negative,"хватит уже гулять ,Даха
давай уроки делай"
skip,"привет)))нормик)селешн прошла,а в батле вылетела("
skip,"а вы из правого сектора..? а вы случайно не сатанист...? а вы батюшка, да..?"
negative,"Раймер сучка!! 
Не по катал меня сегодня!!! 
Я обиделась! :("
speech,"Поздравляю с Днём рождения!=) Счастья, здоровья и большой любви с Натуськой;)))"
positive,красава братан
skip,Я не купил уже 4 модели Айфона и всерьез подумываю не купить пятую.
negative,cadillac sixteen concept!!! моя мечта станет реальностью всего за 2 миллиона долларов....
positive,"ахха,Бахирева ты поймёшь)))"
skip,"— Каким клеем можно клеить при отрицательных температурах?
— Водой отлично возьмет."
skip,"В ПЬЯНОМ СОСТОЯНИИ СЛОЖНО ПРОИЗНЕСТИ: 
1. Инновaционный. 
2. Консультaционный. 
3. Аннигиляция. 
4. Трaнсaтлaнтический. 
ОЧЕНЬ СЛОЖНО ПРОИЗНЕСТИ: 
1. Кaлькуляционный. 
2. Плохоскоординировaнный. 
3. Экзистенциaльный. 
4. Удовлетворительный. 
И АБСОЛЮТНО НЕВОЗМОЖНО ПРОИЗНЕСТИ: 
1. Спaсибо, но сексa у нaс с тобой сегодня не будет... 
2. Нет, я больше не хочу виски! 
3. Извини, но ты - не мой тип. 
4. МaкДaк? Нет, спaсибо, я совсем не хочу есть. 
5. Зaчем же я буду звонить ей в двa чaсa ночи? 
6. Ой, я не могу! Вряд ли кто-то хочет услышaть, кaк я пою - мне ж медведь нa ухо нaступил! 
7. Я не собирaюсь с тобой дрaться. 
8. Спaсибо, но я дaже не хочу пытaться тaнцевaть - у меня нaрушенa координaция. Не хочу выглядеть лохом! 
9. Где ближaйший туaлет? Я не собирaюсь ссaть нa пaрковке."
skip,"умереть ты сможешь в любую секунду, ну то есть абсолютно. Так что не спеши, делай всякие штуки, пытайся оставаться на плаву, а когда уже совсем никак, совсем конец - пожалуйста, тут уже твори, что хочешь. Просто ты должен знать, что сделал всё что мог, раньше никак. нельзя."
skip,"Пипец дубак в Хесе.  Отморозиляйцы. А Нике хотьбыхрен. Короч, Клара ваппен!!!))"
skip,А шаурма это жизнь твоего врага
skip,"лучше бы меня взял :D
▼
▼
▼"
speech,с наступающим=))*
speech,С днем рождения! Всего наилучшего!
skip,"хе хе хе хе хххехе
"
skip,"дааавай даавай реще буквы рисовай :D
Та гора нас не забудет)"
skip,"Сезон клубники открыт) Роликов нет - я приболел, всеми силами пытаюсь восстановится)"
speech,Всех с праздником пасхи! Христос воскрес!)))
negative,"
Ребята мы ведь можем по 4 часа в день трудиться. нас рабски используют.Платят медный грош или совсем забывают заплатить."
neutral,"Андрей, один из МиниТестов показал следующий результат, смотри ниже. Много других тестов здесь - vk.com/minitest"
skip,у меня сообщения тебе не отправляются больше ахахах
skip,")) Я: кошки, эппл, корки не оставляю, чай, стол (хотя бывает..), 50 кг, меню - по настроению))"
negative,"Вчерашнюю таблицу чемпионата распечатал и прибил на стене.... Кони первые, вы-вторые. Нижегородцы-третьи, Говно по руководством ""Валерабляидисюда"" на 16-м. Написал Путину письмо, попросил закончить сегодня чемпионат с целью подготовки к Лиге Чемпионов... Жду ответа.... БЕЛЫЙ!"
speech,"С Днём Рождения! Желаю Счастья, Здоровья, Любви, Успехов Во Всем И Исполнение Всех Твоих Желаний! 😀 💰 🎀 🎁 🎂 🎈 🎉 🎊"
speech,С днём рожденья!
negative,Вот вы вреееедныеее с Саньком!
speech,"""Что у Вас нового?"""
positive,моя бесконечная любовь👼
neutral,голосуйте за кращого!!
skip,#пары#веселье#вседела
speech,Спасибо за посвящение) Да мы такие
speech,"Дорожу каждым из вас, мои обожаемые друзья) Спасибо вам за мои улыбки!"
negative,"Ты не бабник, нет - не льсти себе.
ты - курицалюб"
skip,Тупая и страшная? Ну и что!? Главное чтобы человек был хороший
speech,"Приветик,ну что завтра гулять едим ?:*"
positive,"Никому и никогда не позволю сказать хоть одно негативное слово в сторону моей сестры. Вы можете думать всё что захотите! Но оставляйте своё мнение при себе. Она мой самый близкий человек,она мой лучик света,она моя сестра. И мне всё равно,что вы о ней думаете. Пусть она не всегда поступает верно и вообще некоторые её поступки неадекватны, но для меня она есть и будет самой лучшей:**"
skip,кто знает где это чудо сейчас находится? Коля Кузнецов который!
skip,"Все потеряно.
Пора...пора забывать прошлое.Точки поставлены. 
Оступился, встал, отряхнулся и пошёл дальше...)"
skip,скажите что меня не одного глючит ))
neutral,MOUNT SHOW – Что там у москалей? Или «Как хохлы парад смотрели»
positive,моя прелесть!!!! Несси)))
skip,Плюшевый Порш. Готово!!!
skip,☺ Отправлено через 🎅 vk.com/ranks 🎅
skip,"опять судьба меня толкнула
на те же грабли всотый раз
и я с улыбкой жду удара
питаю слабость я к граблям"
skip,Дякую кохана
skip,Это моя святая святых))) Незяяяяяя
skip,"Жирный хуйлан, куда пропал, уебище лесное, го в доту, рак ибаный"
neutral,Резо миксы делает
neutral,акробатим на пляже
skip,"Любовь как волны, пока ждешь самую большую, наступает штиль... ©Jin"
neutral,На последгнем экзамене
positive,"Я предпочитаю делать в своей жизни то, что я люблю. А не то, что модно, престижно или положено."
skip,"Не важно что будет со мною, главное что бы мама не плакала."
skip,ты знал? мой возраст в вк совпадает с твоим номер группы. Ты счастлив?)
speech,"Лёха, с Др тебя поздравляю, и искренне желаю:Пусть нахуй катятся проблемы, переживания и неудачи!!! Пусть всегда тебя преследует УДАЧА!))"
skip,"минус говно. не слушайте Андрюху ъ. и вообще трек говно, сведение говно, минус еще хуже, короче с праздником всех )"
neutral,"Зашла в ""Индийские специи"". Купила кило фиников, горох в васаби, имбирь в сахаре, чечевиц, ХАТА МИТУ и печеньки. Рот сгорел."
skip,Еду загорать на холодный пляж с горячим северным солнцем Ямала... ... На долго ... 😊
skip,"Идеальная женщина -Выглядит как ангел. Трахается как чертовка. А после секса -превращается в 2 друзей , и ящик пива."
positive,Отдыхаем 👑 ✌ 😍
neutral,Варя ушла в поход!!!!
neutral,"Ты очень похож на Джастина Бибера! А на кого похож я? - 
"
neutral,эй бум бум шо молчишь?:)
negative,кто-нибудь помогите избавится от вредной привычки. оч прошу..
negative,"Остаться без друзей - самое горшее,после нищеты,несчастье (Даниэль Дефо )"
neutral,кому пофотографировать портерты на пленку?признавайтесь!
speech,"С Днем Рождения ! 
Желаю каждый день открывать для себя классную музыку; больше возможностей и ясного горизонта =)"
positive,"Владик, я скучаааю 😩 :*
Приезжай и пойдем гулять!"
neutral,Перманентный макияж бровей. Теневая растушевка. Первое фото - Сразу после процедуры. Второе фото - через 2 недели после процедуры.
skip,"5 Октября. Хороший день, чтобы загорать..."
negative,"Вопросов много, мало ответов... Ясно одно: слили ребят.
"
skip,"Я говорю с серьезным видом, но внутри меня танцуют олени в фиолетовых шапочках и салатовых трусах!"
positive,ахахахахахахах)))))  
skip,"Женщина может быть разной и непонятной, но в мужчине она ищет постоянства и любви, она должна быть каждую минуту уверена в нем, уверена в том, что она ему нужна. Всегда. Каждую минуту."
speech,Христос Воскрес!
speech,Спасибо за песенку! Очень приятная и мелодичная!
skip,"скучно... а напишите ка мне, пожалуйста, что нить хорошее - приятное :)))"
positive,"С огромным удовольствием посмотрел выпуск! Интересующимся этимологией, антропологией, лингвистикой-советую!!! Так же, лишний раз убедился, что картавые ученые и православные херстианцы-глупые, злобные самодуры) Ну конечно, не без юмора, сарказма, подколов))))))"
neutral,"Говорят, у людей с холодными руками теплое сердце."
neutral,о славянских девушках)
neutral,Я сделаю это...
neutral,"Виктор, я подобрала тебе машину
"
skip,З наступаючим Новим Роком*)
neutral,"Друзья! Выручайте! Есть среди вас дизайнеры проектировщики жилых помещений???Срочно для разработки проекта детского сада нужен смелый альтруист, готовый помочь за символическое вознаграждение в сумме не выше 15 000 отечественных рублей😇"
skip,#Дима_возмущается #Недовольство
positive,"Как же греют слова однокласника ""Да ладно , я тоже ни х*я не учил""=)"
speech,С Днём Рождения!!!
skip,НЕ РАСХОДИТЬСЯ ПОКА НЕ ВЫПУСТЯТ-ГУБАРЕВА!
neutral,Мой первенец
neutral,"Всероссийский Народный Сход Против Политики Властей состоится, скорее всего, не 3 декабря, а 2."
speech,С Новым Годом:**)))
negative,"если и они тебе не мелодичны, я уже и не знаю..."
skip,"16 .о3. 2о14 !
СЪ ВОЗВРАЩЕНИЕМЪ , РОССIЯ !
СЛАВА КРЫМУ ! СЛАВА СЕВАСТОПОЛЮ !
СЛАВА РОССIИ !"
positive,"Я - девушка... 👸 нельзя меня Ругать, нельзя мне Bрать!!!
... Мeня надо любить, ❤целовать😘 и нежно-нeжно oбнимать.😋"
negative,"Не жизнь, а не понятно что ><"
positive,"И вот прошел он - слёт краеведов нашего города. Грязь, жара, колючки, бла-бла-бла.... Зато фоток- немерено :)"
speech,С Днюшкой))
skip,"почему у тебя со мной такие ассоциации: псих,нервы????=))))"
neutral,Братан приехал
neutral,Го на великах кататься?
negative,завтра самый ужасный день
positive,"У меня новая ракетка!
Супер Пинг-Понг!
"
speech,Всем спокойной ночи - сладких снов!!!!*
neutral,Сегодня встречал олимпийский огонь...
negative,15 минут позора и все закончится
speech,С ДНЕМ РОЖДЕНИЯ))*
skip,Козаки не мерзнуть....MOD
skip,вот я молодец! Я снова какашулька!!!!!
neutral,"• Отправлено через ► vk.com/Fotiko ◄
"
skip,Соленый поцелуй-ка) 
skip,товариський
speech,С Днем Рождения!!)))
neutral,Добавляйте ее очень хорошая девушка...
skip,"Ну а чо, мое хер найдешь"
skip,кто за любовь? ставим лайк!
skip,"“Посещение церкви воскресным утром демонстрирует популярность церкви; воскресный вечер демонстрирует, насколько популярен проповедник. А молитвенное собрание по средам демонстрирует, насколько популярен Бог”. (с) Леонард Равенхил"
neutral,куплю 3 оконих стекла
skip,#крымнашбожехранироссею
negative,Ебать мне тебя сейчас жалко... )))
neutral,Определение словарного запаса: vk.com/slovomer
speech,С Днем Рождения))))
skip,"Затянись мною последний раз,
Ткни меня мордой в стекло.
Дави меня, туши мою страсть-
Буду дымить назло."
skip,"35 литров воды,
20 килограмм углерода,
4 литра аммиака,
1,5 килограмма оксида кальция,
800 грамм фосфора,
250 грамм соли,
селитры — 100 грамм,
80 грамм серы,
7,5 грамм фтора,
5 граммов железа и 3 грамма кремния.
Плюс ещё 15 элементов. <…>
Из этого состоит тело среднего взрослого человека.
<…> Между прочим, все эти компоненты можно купить на рынке за гроши. Люди стоят дёшево."
