label,text
neutral,"Мне настолько скучно и нечего делать, что я уже знаю 53 знака после запятой числа Пи на память."
neutral,последния ментоловоя сигарета)
negative,Тупо хочу спать...
skip,"Есть 3 типа людей: Умные, которые делают все сразу. Умные, которые  откладывают на потом и доделывают. И Я...сначала впадлу потом  поздно......"
neutral,По-взрослому - это не удалить номер и потом звонить по пьяни...По-взрослому - это оставить номер и не звонить НИКОГДА....
negative,Обломище :(
negative,Все очень Плохо..
negative,гори в аду
negative,"Устал, труды мои тяжкие, праведные....все для людей, ничего для себя..."
skip,"блин....палево...надо что б всё получилось, надоело на суше..."
skip,Талон на интернет - это безжалостно!!!
negative,"Сокуров шокирован: премьера ""Фауста"" в Петербурге сорвалась..."
neutral,Тупой физической работе я предпочитаю интеллектуальное распиздяйство.
skip,Дружба - это когда тупые идеи приходят в две головы одновременно.
negative,"Я стала другой...я забыла,что такоe 
смех,рaдость,любовь...начала курить,пить,реветь... Потеряла чувство 
реальности... Это все ты... Теперь ты доволен?ты довел меня до такого..."
negative,"Он умер. Я чуть не расплакалась. 
А я его любила еще с самой первой части."
skip,как же хочется спать...
negative,"Омг -_-
Я из Украины , ну и нахуй пиздеть на Россию ?
И нахуй быть бендером ?"
negative,"12.07.2014 21:33 (мск) Комментарии от И. И. Стрелкова

- Укро-СМИ пишут: ""За прошедшие сутки ... ликвидировано около тысячи террористов... За прошедшие сутки террористы убили пятерых военных..."".

И. И.: ""А ничо так... против 1000 убитых боевиков всего 5 уродов, пошедших на пополнение ""небесной сотни"" (которая уже, думается, третью тысячу разменяла). Неплохая статистика - на одного укра по 200 убитых ""колорадов""! Можно так воевать!
Вот только ""меня терзают смутные сомненья"": у нас сегодня 3 ""двухсотых"" - на участке фронта от Снежного до Лисичанска. Где же они остальные 997 ""насобирали""? Ну, еще под полсотни мирных жителей они уничтожили за ночь и за день, мрази... И все равно 1000 никак не получается""."
negative,"блин, меня всю продрагивает от слов..."
negative,Мой ответ всем продажным ментам
negative,"Как трудно жить,когда тебя бросили..."
negative,ЭТО ПОЗОР! Человек занимающий подобную должность обязан знать Английский!!! И этот ролик(((( Сколько взятку мы дали?
negative,Вчера смотрел проститутку Тимошенко то ебется с адвокатом то со своим мужиком
neutral,"Маловато будет =(
#ДеньРадио"
neutral,"мозги, конечно не видно,но когда их не хватает-ЗАМЕТНО :)"
skip,"а вот что такое ,,барокамера,,-я не знаю.....((("
negative,Безысходность)
neutral,Когда же мой рабочий день кончится?...
neutral,Интересно у Параше остались самолёты и вертолеты или всех погрохали !Что-то они перестали летать
negative,"Майкоп 15.06.2013 время 23.20 град шел пол часа после сильнейшего  ливня, у всех в городе теперь крыши и капоты с вмятинами на машинах включая меня ((((((("
skip,"Я знаю, что был не прав, что, хоть и могу привести ряд отговорок, но поступил то я подло. Просто... просто я - не идеал, во мне столько же говна, сколько и во всех остальных, а может и больше. Не надо питать иллюзий.

Впрочем, нахрен копания в себе! Я был неправ.
Друг, мне тебя действительно не хватало..."
neutral,Муж подловил нас троих (единственное общее фото нас :((( )
neutral,Объясните дураку в чем прикол скорбеть по поводу смерти Стива Джобса?
positive,Ах эта осень🍁💕
neutral,новый. я кажется теряю хватку Т_Т
negative,скучно!!!!
negative,"Дорогой Люциферушка, устрой, пожалуйста, апокалипсис, не за себя прошу... нам тут всем скучно"
skip,Они были созданы друг для друга.. но тупили по –страшному!!!!!!
negative,был очень неудачный день!!!!!!(((
positive,дико хочется жрать!
negative,Не верьте в сказки - их просто нет: сплошь иллюзия обмана !
negative,"Ну, я пришёл домой, а тут нет ничего. Обидно(( На работе мне померещилась картинка."
negative,"Настоящие герои это те, кто жертвует своей жизнью ради жизни многих людей. А те, кто убивает безоружных людей, женщин и детей - это не герои, это позор Украины."
neutral,Когда снимать швы нужно? В больницу не хочется и времени нет...
neutral,"Отношения начинаются со слов""ой,у нас столько общего"", а заканчиваются""мы с тобой слишком разные""..."
positive,Ну ты бля красавчик ваще внатуре бля
negative,"Всё растут,а я сука нехуя не меняюсь=\"
negative,"фак, на ка6луках тяжело ходить, на плоской подошве тоже тяжело. что 6лин делать"
skip,"Когда херово на душе и ""Nesckafe"" не лезет в глотку, я позвоню своим друзьям, мы вместе наскребем на водку!"
neutral,"""сегодня вас любят, завтра нет, схуяли удивляться я не пойму.”"
negative,"Прощай Авгур... Пусть земля тебе будет пухом... Помним, любим, скорбим..."
neutral,И все таки мне нужна парочка рабов...
skip,вот бля! до слёз!
negative,"НУ ВЫ ПУТИНЯНЕ НЕДОБИТЫЕ, ПОДЛЕЦЫ ! ГОСПОДИН ПРЕЗИДЕНТ ВСЕХ ВОРОВ И ЖУЛИКОВ РОССИИ СКАЗАЛ ЧТО ВАМ СТАЛО КОМФОРТНО И БОГАТО ! А ДРУГОЙ БОЛЬШОЙ НАРОД ЖИВЕТ В ДОЛГ У БАНКИРОВ И ПОЛУЧАЕТ НИЩЕНСКУЮ ЕВРОПЕЙСКУЮ ЗАРПЛАТУ !"
neutral,"и где сказано,что ебанутый на всю голову не является нормальным? (с)"
neutral,Блин Руля статус правда...
negative,хули ты мой статус спиздил! нигер херов?!
neutral,Мир двоих не понять милионам.
negative,"грустное серебро зенита, дело к полночи и не допить вино,вера в силу газпрома убита, пойду в лотке кота - убирать говно."
negative,ты ебанько
negative,Значки на серых пиджаках. На лицах скука или страх...
positive,mst4k [id131583510|уёбок] будем гомна роздавать!)
negative,"Порой такое чуство,что я тебе нафиг нужна!!!!"
negative,Долбаный 3G интернет...
negative,кому 1 ром подарить?просто так чтоб привлечь к себе внимание а то мне никто не пишет((((
neutral,"Чёрный воронок в реальности не совсем чёрный, но именно на этом меня отвезли отбывать срок ареста)"
negative,"Местный Телеком, окончательно оборзев, не только отключил инет 1 числа, но и выкатил счет втрое больше положенного, а также 2 раза нахамил."
neutral,"ЁПТА, ну почитайте историю. Это ужасное событие никак не относится к бандеровцам."
negative,Российские сми самые пиз.ливые сми в МИРЕ!
positive,Дааа:'(   мы за тобой так соскучились:'( зай возвращайся :-D
negative,"а за шахтеров погибшим в Донецкой обл. не одна блядь не вспомнила,а за этими фашистами третий день плачут"
neutral,только приехала-сразу в контакт
negative,"Блять, [id5971215|Виталик], выучи матчасть и перестань позорить весь мужской род. "
neutral,это конец=)
negative,"Я на хую крутил романтику и прчюю хуйню, Тебе не в кайф мои кайфа прости я так живу!!"
negative,Прошло 92 дня как я в армии. Пипец скучаю по всем
skip,"""Дикий""
 
Мой мозг - безжалостный злодей 
Покоя нет и нет идей. 
Ломился в запертые двери, 
Пророчя мне, что люди - звери! 
 * * * 
Не верю я! И ты не верь! 
Не ослепить слепых теней. 
Схватив перо - что ржавый гвоздь, 
Я утолил немую злость... 
 * * * 
И пусть мой путь тернист и труден 
На дикость - дикостью в ответ. 
Я призываю Вас: "" О, Люди! "" 
Мы живы добротой сердец! 
 (21.04.12)"
negative,"Боже, как заебись, что меня больше НЕ ЕБУТ проблемы расписания, пар, долгов, конспектов и всей остальной учебной пиздоты"
negative,"Стариков с теориями заговора перебарщивает... Иногда до смешного..

Единственное для чего можно его пригласить, так это чтобы немного разбавить вопли недовольных жизнью москвичей бегающих по митингам... А то эта клоунада уже бесить начинает.."
skip,"Я тебя никому не отдам, даже самому
Богу. я устрою такую войну, что к тебе
все забудут дорогу.."
skip,А хуею без бояна тут до сих пор срачXD Бля всё таки надо отдать должное легион не победим!
negative,"Как ни искал золото на конце радуги, да только в шапке пусто(("
negative,"ты даже не представляешь, на что меня этим жестом обрек!"
negative,"Задержка рейса уже на три часа. Курить вырвались с боем, скандалом, уговорами и угрозами. Самое странное - 14 мужиков и одна (!) я. Что-то поменялось в нашей стране)"
negative,Бляяя...Зимовский на НТВ с4а такой удот !!! :D
negative,Фонари галимые!ааа...!!!
negative,Жизнь боль😭😭😭
negative,Убей меня я наркоман 😭
negative,"Иногда кажется, что весь мир против тебя. Но это всего лишь кажется. На самом деле на тебя всем насрать."
neutral,Дуров вовремя продал нас всех
skip,"ДИКИЙ, ГОРДЫЙ, НИКОМУ НЕ ПОКОРНЫЙ, БОРЗЫЙ, ДЕРЗКИЙ, КАК ПУЛЯ РЕЗКИЙ, НИКОМУ НЕ ОБЯЗАН, НИ К ЧЕМУ НЕ ПРЕВЯЗАН, НИКОМУ НЕ ПОДОБЕН, ПОТОМУ И СВОБОДЕН!"
negative,"Сожаления ни к чему не ведут...предаваться им-значит тратить время нынешнее ради прошлого,которое больше нам не принадлежит....."
negative,бля рука болит !!!!!!
neutral,Не хватает
negative,"хаха, набираю статус, а телефон трясётся в руках:DD... мля, чё ж так херово..(("
negative,черт! ну нифига не поздравила тебя на стене(
negative,Как мне жалко бедного Губку Боба:((
negative,Скучахи по бро(((
neutral,"Сдай лучше зачет по физкультуре, вместо того чтобы в ВК сидеть ... 😈"
skip,"Мне лишь оставалось
смотреть на их вспухшие
тела. Местами было
видно, как внутренности
просились наружу.
Смотреть было мерзко, но
я понимала - пельмени
готовы! :)"
neutral,"Народ едьте в Одессу, а то как то скучно)"
negative,"Вот не понимаю этого трёпа ((( Сказал  бы никитка честно - ребята , трабл в том что в Симферополь не летают международный авиарейсы а на перекладных гостям из гейЕвропы никак не камильфо, по-этому мы рвём когти в Грузию. Нахрена столько пафоса !!!"
negative,"я такая вся такая не врот еловая слушаюсь мальчиков, сама себе поэт но Серовно остаюсь убогой не красивой кривой зашто мне такая полоса, что Я бы неговарила той который я была."
skip,"наступает жара, всем жирным капец ^^"
skip,"Сука, таращит! :D"
negative,пафосные блондинки с куриным мозгом рулят!..(((
negative,"Саш, это пиздец :D"
negative,"Заболел. Уже и окружающих начал заражать. Все началось с легкой одежды, простуды. Берегите себя, в регионе зараза! Больше всего похожа на грипп."
positive,"Буду скучать за нашими поседелками,ночными разговорами ты стал частью моей жизни возвращайся скорее тебя будет не хватать"
negative,"Блин, что же я наделала............"
neutral,Оргия Праведников - Шитрок
skip,Мне так одиноко. Нужна компания. Желательно нефтяная......
negative,"как же рвет крышу, когда ветер изнутри..."
neutral,День пьяных Бантикофф :)
neutral,"Когда весело – хочется жить;
Когда грустно – хочется умереть хоть сейчас."
neutral,"давно не слала коней тебе, девчуха."
negative,У меня завтра екзамен-философия!!!Я ничего не знаю(((((
negative,пизда вот бля погуляли.....
neutral,"Как убрать хрень , которая хочет скрыть друзей , она постоянно вылазит !"
negative,"Все остальные голосуют как люди, в очередях стоят, нарядные. А мы как быдло, из-за террористов не можем выразиться :("
negative,Довыёбывался узкожопый.
skip,"Зову я смерть. Мне видеть невтерпеж
Достоинство, что просит подаянья,
Над простотой глумящуюся ложь,
Ничтожество в роскошном одеянье,
И совершенству ложный приговор,
И девственность, поруганную грубо,
И неуместной почести позор,
И мощь в плену у немощи беззубой,
И прямоту, что глупостью слывет,
И глупость в маске мудреца, пророка,
И вдохновения зажатый рот,
И праведность на службе у порока.
Все мерзостно, что вижу я вокруг...
Но как тебя покинуть, милый друг!"
neutral,Омерзительная четверка на практике
negative,"чушь ты говоришь! ниу давай тогда нацистскую свастику носить будем, или знамёна нациков! флаг это символ, а не просто тряпка1"
neutral,"порой, мы готовы писать
человеку всякую ерунду, лишь
бы он время от времени
вспоминал о нас."
skip,Утуйарга нахуй!
negative,"Россию обстреливают, а нам похуй!"
neutral,КиберТрибунал вынес приговор виновницам в сожжении живых людей в Одессе
negative,"Кузьма, хотел расстрелять « верховну раду» и повесить всех президентов пидарасов… пидарасы опередили…"
skip,щас батюшка может воскресит его аххххххххахахахахаххахаха
skip,"Людей, переживших лето в Ашхабаде, будут выгонять из ада за смех в котле"
neutral,люди помогайте разнести по сети обращение ко всем украинцам   ОСТАНОВИТЕСЬ  ! НЕ ПЕРЕСТУПАЙТЕ ЧЕРТУ!  УКРАИНЕЦ-НЕ СТРЕЛЯЙ В УКРАИНЦА !СЛАВЯНИН НЕ СТРЕЛЯЙ В СЛАВЯНИНА !ТРИ ЕВРЕЯ В УГОДУ АМЕРИКАНЦАМ ХОТЯТ НАВЯЗАТЬ НАМ КРОВАВУЮ БОЙНЮ  НАША КРОВЬ-ЭТО ИХ ДОЛЛАРЫ В КАРМАНЕ  РАДИ ЭТОГО СТОИТ ВОЕВАТЬ С БРАТОМ???
neutral,Опять плач ребенка. Из-за стены. Но у моих соседей нет детей!
negative,"это пипец, меня бы вынесли из этого лифта"
neutral,Не любишь Единую Россию?
negative,"Шок, боль, удивление."
negative,Мы вас так сказать не забудем 💪🏻💪🏻💪🏻👊🏻👊🏻👊🏻👊🏻😭😭😭 жалко что вы уходите😢
negative,НЕНАВИЖУ СВОЮ РАБОТУ ! ! !
neutral,Снял погоны и петлицы и уже .............. ДЕМОБИЛИЗАЦИЯ!!!!!
positive,"Мне стало без него сложней
дышать.
Секунды тянутся тяжелыми
часами.
Я всё готова бросить и отдать,
Чтоб просто обнимать его
ночами."
neutral,"По поводу случая на марсовом поле, на мой взгляд нам нужно взамен ЛГБТ организации создать общество отставания прав геев, которое бы в судах отстаивало нарушенные права( увольнения за ориентацию, возмещения морального вреда....) А все эти хождения с радужными флагами- чего Быков тряпкой возбуждать, толку- то от этого никакого. Большинство натуралов живет стериотипами и по ленности своей не хочет разбираться в сути вопроса, поэтому и доказать им что- либо невозможно( быдло оно и с крестом на шее быдлом остается). А вот законы уважать все обязаны - оскорбил - будь добр - заплати. В другой раз думать начнут."
skip,чёрт...всю ночь просопела её....
negative,страшная какая!
positive,Я уже соскучилась...
skip,"Если у жены ужасное настроение, отойдите на безопасное расстояние и бросьте в нее кошельком!!"
speech,Простите меня за все
skip,"знаете, как у нас (в Украине) перевели название фильма ""Пришелец Пол""? ""Прибулець ПАВЛО""! Сука, я плАчу.."
neutral,"Не знаю как для вас, а для меня чтение стало роскошью. Банально не хватает времени. Читаю в основном по ночам. Как–то так..."
negative,температура 38-6...Что может быть хуже((((((
neutral,Нести хуйню с серьёзным лицом - это искусство.
negative,"медведев, еще тот предатель"
negative,Задолбали с этим святым Патриком. Как бухать - так все ирландцы.
negative,Он дурак. Ничего не понимает.
negative,РФС ГОВНО!!!!
neutral,"Начать всё с нуля – это не безумие. Безумие – это притворяться счастливой. Притворяться, что именно эту лямку ты должна тянуть всю свою долбаную жизнь."
negative,"Какая Нахуй Дружба? нет ее !!! 
Одни предатели кругом)))"
negative,Жизнь печальна...
negative,"...опять сессия !!! заебала!!!деньги,время где всё это найти !!!"
negative,время плакать
positive,"скучать буду:(
очень очень:*"
negative,"Я не хочу жить в этой стране. Надеюсь, что те, кто действительно осознанно проголосовал за Путина обосрутся в штаны от счастья и этой вонючей взрывной волной уничтожат всю страну словно огромным ядерным взрывом. Дак не доставайся же ты никому."
neutral,искупаю грехи!
neutral,"Из всего, что я потерял, мне больше всего не хватает мозгов…"
negative,"вот проснусь, приду на работу и четверть века уже за плечами((("
negative,Скучно!!!!
negative,Блин....Да что ж такое то...
negative,Помним....Любим....Скорбим....
negative,"Гребаное ЗНО,бля не представляю как писать математику,держите за меня кулачки)"
neutral,как остановить эту песню и удалить ее из своей головы навсегда
negative,"Уже пятый час пошел как я пишу эту бредятину, а сделала только половину.
аааааааааааа"
skip,"Vol4en0k: печальный парадокс студенческой жизни: учить надо - лень не позволяет, спать лечь - совесть 
Vol4en0k: сижу, жру..."
neutral,ЛЕРА ЛЕРА ЧТО ЖЕ ТЫ НАДЕЛАЛА
negative,"От перемог остались зрады, 
От власти- только драки Рады. 
Кастрюлей с прошлого майдана 
Смертельную не скроют рану. 
Всё ""ще не вмерлу"" тянут голосисто, 
Но кто же громче всех? -фашисты ©"
skip,Мозге - АДСКИЙ АД!!!
neutral,"Любовь, пережившая расстояние, вознаграждается вечностью."
neutral,Шайка-лейка
neutral,"объясните мне...ЭТО нормально?

Отлучение за неуплату"
positive,пипец как щас весело за окном!!!
negative,В Харькове десантников нет?.. наши давно бы разогнали этот гей парад..
neutral,"Бросать трубку, демонстративно уходить, обижаться, психовать, посылать. Думаете это девушки? Нет! Это сейчас такие парни пошли."
neutral,легкая авария.
neutral,канал юстрим положили чтоли?
neutral,"Если верить в конец света, то это наши предпоследние выходные."
negative,"В конце концов, ему же хуже - я всего лишь утратила неверного любовника, а он-то потерял женщину, которая его любила...."
neutral,Черт и ведь в натуре так!!!
neutral,"Молчание - не значит смерть,
Лишь дань ошибкам и обидам.
Так поступают короли:
Взяв дырявую суму и волю,
Они лицом к лицу становятся с собой, 
Чтоб показать как мало значит слово
И научить себя бездействию, творящему дела.
Молчание - не значит безразличье,
Молчаньем возвращают к жизни тех
Кто плачет об ушедшем в мир иной Приаме
И царствует над башней перемен, 
Где бесконечно слышен звон мистерий.
Окно себя в переплетенье душ
Молчаньем закрывается от мира."
neutral,"Станнис не прав.
Роковая ошибка"
positive,"▅ ▆ █ Просто живу и веселюсь, забью на все, забью на грусть█ ▆ ▅"
neutral,САНАН ГАВНО ТЕБЕ КИДАЕТ ВОТ ЭТО ЛУЧШЕ!!!
positive,"Скучали, Джимушка!!!"
negative,пиздец вьебали 12000 прогреса!!я вахуе
negative,скукота дневная пятничная...
negative,и это называется летом ни солнца ни жары ни пляжа ебанутое лето! Да и ещё дым этот(
negative,"ааааааа, ужааааас. Я это вчера по ящику видел. 
Даже не знаю, как откомментировать. А, никак, просто адовый ад."
skip,Хрузю тирсу((
positive,"Бля,ну ГЕНИАЛЬНО же!"
negative,Мне очень грустно
negative,жизнь сука опасная!!!!!
positive,"Никаких грязных мыслей, несколько снимков,
Чтоб навеки тебя удержать...
Никаких грубых слов, только любовь...
Не пытайся от этой любви убежать..."
neutral,"да, я троллил даже в школе."
skip,ЗДОХ ПРИКИНЬ!
negative,"Ты, мать его, посол дьявола походу?!!!
Как бы ты знаменитостей не загубил....от дьявола ж....!"
negative,Помним... Любим... Скорбим...
negative,"Качают грустные качели Мои воспоминанья вновь. Как быстро дни те пролетели,Когда царила в них любовь. Когда казалось все красивым,Таким счастливым и родным. Теперь же стало все унылым,Обидным и таким пустым. Ты вспоминай меня прошу,Хотя бы просто иногда. Я тоже о тебе грущу И не забуду никогда.."
negative,Это пи...ц
neutral,"Девушки, не заставляйте парней ревновать - к добру это не приводит!"
negative,"Камп ноу без Хави, Энфилд без своего капитана, Сантьягго Бернабеу без Икера, Альянц Арена без Босса... нахера такой футбол нужен ?(((("
negative,геометрия ппц...
negative,вот так вот всех надо)псы ебаные!
skip,"Что же сделать мне, чтоб ты любила
И была заботлива со мной?
Вспомнил о тебе, и это было,
Будто вспышка молнии над тьмой.
Я хочу, чтоб ты меня желала,
Нашу близость чуткую спасти.
Что теперь мне делать, всё пропало – 
Но трудней всего сказать: «Прости».

Как жаль, как жаль,
Это очень, очень грустно,
Этого абсурда не снести.
Как жаль, как жаль,
Как без тебя мне пусто…
Много трудных слов,
Но сложней всего сказать: «Прости».

Что же делать, чтобы ты любила,
Память — словно молния в груди.
Трудных слов так много в жизни было,
Но тяжелей всего,
Но тяжелей всего,
Но сложней всего сказать: «Прости»…"
speech,Извини. Не сдержалась)
neutral,Вот и осень пришла… Скоро зима наступит… Потом конец света… потом Новый год…
negative,Мелкие пакостники!
positive,"Блин лето закончилось , но ничего мы и осенью туснем.)"
negative,Завтра на работу...((
negative,"""К черту! К Дьяволу! Чтоб им сдохнуть! Чертово отродье! 487 миллионов! Козлокозаки долбанутые! Quid? Quid? Quod? Сифилиславия паршивая! Quid? От заславяненной Балтики до Чернобелого моря? Quam? Гады балканые! Псы поганые! Похаблёбка огуречная! Зануды! Отрыжки! Дерьмоглоты! Чхал я на вас! Огромную кучу! Достали! Тыкваква! Бурдаки? Кишмя кишат! Волгарончики! Монголявки! Татароны! Расстахановцы! Жоподовичи! Четыреста тысяч мирьяметров вёрст сраноклятой степи, сплошь ништяк заполошник! Сукозлы! Везувня! Потопень! Сморчки маргавённые! Чтоб вам в очко вонючее царибнуться! Усталин Воровшилов! Свехпланки недоделанные! Транссиберия!"" — Луи-Фердинанд Селин о Советской России."
negative,"ракшид, эт перваяфотка на вэбку...харэ лутше всякую хуйню писать на стену, пиши в см. ИБО БУДУ СРАТЬ ТЕБЕ В ДУШУ)"
negative,ты че блять охуел чели)
skip,ребят нахуй бухать надо добавлять
skip,"та шо, блядь, все такие фанаты Хантера Томпсона стали?"
neutral,"Дуров, зачем нам второй фейсбук?"
negative,"Печаль эта мнима, холод- ангина, сопли- плед, чаёк с малиной."
neutral,"Синдром выходных, чтоб его...."
neutral,"Вечная Борьба, и кто их помирит тот не реально сильный 😉"
negative,"В следствии недавнего общения с представителями...ммм..светского мира...может быть и не совсем светского - хуй-то их знает, мы люди простые. В голове копошится огромная гора мыслей. Четко сформировывается лишь одна. Обществом овладело потреблядство. Жизнь по канонам. Все расписано. Как и что тебе делать. Что и где говорить. А лучше молчать. Сумка такая, сиськи сюда, телефон-зеркало-жопа. Кроме эстетического (сомнительного, ясен хуй) наслаждения такие люди и не несут ничего. Пропал\а такой\ая, никто и не вспомнит. Сколько их? ТЫСЯЧИ! Тысячи блядь, индивидуальных одинаковостей. Одинаковых индивидуальностей? Мегаполисы штампуют бездушных\безмозглых\без(подставь своё слово) манекенов. ДА НАХУЯ ВАС СТОЛЬКО?! Короче один вывод напрашивается - да здравствует iPhone головного мозга! Свершилось."
negative,"Надо сказать правду, в России в наше время очень редко можно встретить довольного человека (конечно, я разумею исключительно культурный класс, так как некультурным людям нет времени быть недовольными). Кого ни послушаешь, все на что-то негодуют, жалуются, вопиют. Один говорит, что слишком мало свобод дают, другой, что слишком много; один ропщет на то, что власть бездействует, другой -- на то, что власть чересчур достаточно действует; одни находят, что глупость нас одолела, другие -- что слишком мы умны стали; третьи, наконец, участвуют во всех пакостях и, хохоча, приговаривают: ну где такое безобразие видано?! Даже расхитители казенного имущества -- и те недовольны, что скоро нечего расхищать будет. 

М.Е. Салтыков-Щедрин, ""За рубежом"", 1880."
