"Words";"mean";"dispersion";"average rate";
"алгебра";"0";"0";"0";
"алгоритм";"0";"0";"0";
"александр";"0,111111111111111";"0,314269680527355";"0";
"алексей";"0";"0";"0";
"алехина";"-0,222222222222222";"0,415739709641549";"0";
"алжир";"0";"0";"0";
"алжирский";"-0,142857142857143";"0,349927106111883";"0";
"алиби";"0";"0";"0";
"алименты";"0";"0";"0";
"алкаш";"-1,66666666666667";"0,471404520791032";"-2";
"алкоголизм";"-1,33333333333333";"0,471404520791032";"-1";
"аллергический";"-0,25";"0,433012701892219";"0";
"алогичный";"-0,75";"0,82915619758885";"-1";
"алчный";"-1,33333333333333";"0,471404520791032";"-1";
"аль-каида";"0";"0";"0";
"альтернатива";"0,333333333333333";"0,471404520791032";"0";
"альтернативный";"0";"0";"0";
"альтруистический";"0,75";"0,433012701892219";"1";
"алюминиевый";"0";"0";"0";
"алюминий";"0";"0";"0";
"аляповатый";"-1";"0";"-1";
"аляска";"0";"0";"0";
"амбивалентный";"0";"0";"0";
"амбициозный";"1";"0,816496580927726";"1";
"амбиция";"0,666666666666667";"0,471404520791032";"1";
"америка";"0";"0";"0";
"американец";"0";"0";"0";
"американо";"-0,111111111111111";"0,314269680527355";"0";
"американский";"-0,125";"0,330718913883074";"0";
"амнистировать";"0,333333333333333";"0,471404520791032";"0";
"амнистия";"0,666666666666667";"0,471404520791032";"1";
"аморальный";"-1";"0";"-1";
"аморфный";"-0,666666666666667";"0,942809041582063";"-1";
"амур";"0";"0";"0";
"анализ";"0";"0";"0";
"анализировать";"0,4";"0,489897948556636";"0";
"аналогичный";"-0,111111111111111";"0,314269680527354";"0";
"анархист";"0";"0";"0";
"анатольевич";"-0,222222222222222";"0,628539361054709";"0";
"ангел";"0,666666666666667";"0,471404520791032";"1";
"ангельский";"0,666666666666667";"0,471404520791032";"1";
"английский";"0";"0";"0";
"англоязычный";"0";"0,471404520791032";"0";
"андорра";"0";"0";"0";
"андрей";"0,333333333333333";"0,666666666666667";"0";
"анекдот";"0,333333333333333";"0,471404520791032";"0";
"анестезиолог";"0";"0";"0";
"анкета";"0";"0";"0";
"анкетирование";"0";"0";"0";
"аномальный";"-0,666666666666667";"0,471404520791032";"-1";
"анонимность";"0";"0";"0";
"анонимный";"-0,333333333333333";"0,471404520791032";"0";
"анонс";"0";"0";"0";
"анонсировать";"0,333333333333333";"0,471404520791032";"0";
"антанта";"0";"0";"0";
"анти";"-0,666666666666667";"0,942809041582063";"-1";
"антиалкогольный";"0,4";"0,8";"0";
"антиамериканский";"-1,33333333333333";"0,471404520791032";"-1";
"антибиотик";"-0,333333333333333";"0,471404520791032";"0";
"антивоенный";"-0,333333333333333";"0,471404520791032";"0";
"антигитлеровский";"0";"0";"0";
"антиглобалист";"-0,333333333333333";"0,471404520791032";"0";
"антигосударственный";"-0,666666666666667";"0,471404520791032";"-1";
"антигуманный";"-1,33333333333333";"0,471404520791032";"-1";
"антиконституционный";"-0,888888888888889";"0,737027731190089";"-1";
"антинаркотический";"1";"0,632455532033676";"1";
"антинародный";"-0,75";"0,433012701892219";"-1";
"антинаучный";"-1,33333333333333";"0,471404520791032";"-1";
"антиобщественный";"-1,33333333333333";"0,471404520791032";"-1";
"антиправительственный";"-0,333333333333333";"0,471404520791032";"0";
"антисанитарный";"-1,16666666666667";"0,372677996249965";"-1";
"антисемит";"-0,666666666666667";"0,471404520791032";"-1";
"антисемитский";"-1,33333333333333";"0,471404520791032";"-1";
"антисоветизм";"-0,5";"0,5";"0";
"антисоветский";"-0,666666666666667";"0,471404520791032";"-1";
"антисоциальный";"-1,33333333333333";"0,471404520791032";"-1";
"антитеррористический";"0,666666666666667";"0,666666666666667";"1";
"антиутопия";"-1";"0";"-1";
"антифашист";"0";"0";"0";
"антифашистский";"0,333333333333333";"0,471404520791032";"0";
"антихристианский";"-1";"0";"-1";
"апатичный";"-1,66666666666667";"0,471404520791032";"-2";
"апелляционный";"0";"0";"0";
"апелляция";"-0,333333333333333";"0,471404520791032";"0";
"аплодисменты";"1";"0,816496580927726";"1";
"апокалипсический";"-1";"0,816496580927726";"-1";
"апологетический";"-0,333333333333333";"0,471404520791032";"0";
"аппарат";"-0,25";"0,433012701892219";"0";
"аппетитный";"1";"0";"1";
"апрель";"0";"0";"0";
"аптека";"0";"0";"0";
"араб";"0";"0";"0";
"арабский";"0";"0";"0";
"аравийский";"0";"0";"0";
"аравия";"0";"0,471404520791032";"0";
"арбатский";"0";"0";"0";
"арбитражный";"0";"0";"0";
"аргентинец";"-0,111111111111111";"0,314269680527354";"0";
"аргентинский";"-0,222222222222222";"0,415739709641549";"0";
"аргумент";"0";"0";"0";
"аренда";"0";"0";"0";
"арендный";"0";"0";"0";
"арест";"-0,6";"0,489897948556636";"-1";
"арестант";"0";"0";"0";
"арестованный";"-1";"0";"-1";
"аризона";"0";"0";"0";
"арийский";"0";"0";"0";
"аристократический";"0,333333333333333";"0,942809041582063";"0";
"арифметический";"0,333333333333333";"0,471404520791032";"0";
"аркадьевич";"0";"0";"0";
"арктика";"0";"0";"0";
"арктический";"0";"0";"0";
"армейский";"0";"0";"0";
"армия";"-0,166666666666667";"0,372677996249965";"0";
"армянин";"0";"0";"0";
"армянский";"0";"0";"0";
"аромат";"0,666666666666667";"0,471404520791032";"1";
"артерия";"0";"0";"0";
"артиллерийский";"0";"0";"0";
"артиллерист";"-0,666666666666667";"0,471404520791032";"-1";
"артиллерия";"0";"0,666666666666667";"0";
"архангельск";"0";"0";"0";
"архангельский";"0";"0";"0";
"аслан";"-0,25";"0,433012701892219";"0";
"асоциальный";"-1,2";"0,4";"-1";
"аспирантура";"0";"0";"0";
"ассамблея";"0";"0";"0";
"ассортимент";"0";"0";"0";
"ассортиментный";"-0,25";"0,433012701892219";"0";
"ассоциация";"0";"0";"0";
"астраханский";"0";"0";"0";
"астрахань";"0";"0";"0";
"астрономический";"0,333333333333333";"0,471404520791032";"0";
"атака";"-0,333333333333333";"0,471404520791032";"0";
"атаковать";"-0,6";"0,489897948556636";"-1";
"ататюрк";"0";"0";"0";
"атмосфера";"0";"0";"0";
"атмосферный";"0";"0";"0";
"атомный";"0";"0";"0";
"аттестат";"0,444444444444444";"0,496903994999953";"0";
"аттестация";"0";"0";"0";
"аутентичный";"0,571428571428571";"0,494871659305394";"1";
"афганец";"0";"0";"0";
"афганистан";"-0,333333333333333";"0,471404520791032";"0";
"афганский";"-0,666666666666667";"0,942809041582063";"-1";
"афера";"-0,25";"0,433012701892219";"0";
"афинский";"0";"0";"0";
"африка";"0";"0";"0";
"ахинея";"-1,33333333333333";"0,471404520791032";"-1";
"ахматович";"0";"0";"0";
"ашурков";"0";"0";"0";
"аэропорт";"0";"0";"0";
"аэс";"0";"0";"0";
"аятолла";"0";"0";"0";
"баварский";"0";"0";"0";
"багдад";"0";"0";"0";
"базар";"0";"0";"0";
"базирование";"0";"0";"0";
"базироваться";"0";"0";"0";
"бакалавр";"0";"0";"0";
"бакинский";"0,333333333333333";"0,471404520791032";"0";
"бактерия";"-0,444444444444444";"0,684934889218775";"0";
"балаклава";"-0,333333333333333";"0,471404520791032";"0";
"балалайка";"-1";"0";"-1";
"балканский";"0";"0";"0";
"балканы";"0";"0";"0";
"баллистический";"0";"0";"0";
"баллотироваться";"0";"0";"0";
"баловать";"0,666666666666667";"0,471404520791032";"1";
"балтийский";"0";"0";"0";
"балтика";"0";"0";"0";
"бамбуковый";"0";"0";"0";
"банально";"-0,666666666666667";"0,471404520791032";"-1";
"банальность";"-1";"0";"-1";
"банальный";"-0,333333333333333";"0,471404520791032";"0";
"бангладеш";"0";"0";"0";
"банда";"-1,16666666666667";"0,687184270936277";"-1";
"бандит";"-1,2";"0,4";"-1";
"бандитский";"-1";"0";"-1";
"бандформирование";"-1,33333333333333";"0,471404520791032";"-1";
"банковский";"0";"0";"0";
"банковый";"0";"0";"0";
"банкрот";"-1";"0";"-1";
"банкротство";"-1,25";"0,433012701892219";"-1";
"барак";"0";"0";"0";
"баррикада";"0";"0";"0";
"барский";"-0,222222222222222";"0,415739709641549";"0";
"басаргин";"0";"0";"0";
"баснословный";"-1,33333333333333";"0,471404520791032";"-1";
"бассейн";"0";"0";"0";
"бастрыкин";"-0,111111111111111";"0,314269680527355";"0";
"батальон";"0";"0";"0";
"батарея";"0";"0";"0";
"батурин";"0";"0";"0";
"бауман";"0";"0";"0";
"бауманский";"0";"0";"0";
"бахчисарай";"0";"0";"0";
"башкирия";"0";"0";"0";
"башкирский";"0";"0";"0";
"бдительность";"1";"0";"1";
"бдительный";"0";"0";"0";
"бегство";"-0,777777777777778";"0,415739709641549";"-1";
"беда";"-0,666666666666667";"0,471404520791032";"-1";
"бедненький";"-0,333333333333333";"0,942809041582063";"0";
"бедно";"-1";"0";"-1";
"бедность";"-1";"0,816496580927726";"-1";
"бедный";"-1,2";"0,4";"-1";
"бедственный";"-1,66666666666667";"0,471404520791032";"-2";
"бедствие";"-1,44444444444444";"0,496903994999953";"-1";
"бежать";"-0,5";"0,5";"0";
"беженец";"-0,666666666666667";"0,942809041582063";"-1";
"безалаберный";"-1,33333333333333";"0,471404520791032";"-1";
"безальтернативный";"-0,888888888888889";"0,566557723732532";"-1";
"безбожный";"-1";"0";"-1";
"безболезненный";"0";"0";"0";
"безбрежный";"0,5";"1";"0";
"безвестный";"-0,333333333333333";"0,471404520791032";"0";
"безвинный";"0,222222222222222";"0,785674201318386";"0";
"безвкусный";"-1,33333333333333";"0,471404520791032";"-1";
"безвозмездный";"0";"0,816496580927726";"0";
"безвольный";"-1,22222222222222";"0,415739709641549";"-1";
"безвредный";"1";"0";"1";
"безвыходный";"-0,8";"0,4";"-1";
"безграничный";"0,666666666666667";"0,666666666666667";"1";
"безгрешный";"1";"0";"1";
"бездарность";"-1,66666666666667";"0,471404520791032";"-2";
"бездарный";"-1";"0";"-1";
"бездействие";"-1";"0";"-1";
"бездействовать";"-0,666666666666667";"0,471404520791032";"-1";
"бездельник";"-1,33333333333333";"0,471404520791032";"-1";
"безденежный";"-1";"0,816496580927726";"-1";
"бездна";"-0,888888888888889";"0,737027731190089";"-1";
"бездумно";"-1";"0";"-1";
"бездумный";"-1";"0";"-1";
"безжалостно";"-1,66666666666667";"0,471404520791032";"-2";
"безжалостный";"-1,44444444444444";"0,684934889218775";"-1";
"безжизненный";"-0,5";"0,5";"0";
"беззаботный";"0";"0,816496580927726";"0";
"беззаветный";"1";"0,816496580927726";"1";
"беззаконный";"-1,11111111111111";"0,314269680527355";"-1";
"беззастенчивый";"-0,666666666666667";"0,471404520791032";"-1";
"беззащитный";"-0,8";"0,4";"-1";
"беззвучный";"0,2";"0,4";"0";
"беззубый";"-1";"0";"-1";
"безликий";"-0,333333333333333";"0,471404520791032";"0";
"безлимитный";"0,5";"0,5";"0";
"безлюдный";"-0,4";"0,489897948556636";"0";
"безмерный";"-0,333333333333333";"0,471404520791032";"0";
"безмозглый";"-1,55555555555556";"0,684934889218775";"-2";
"безмятежный";"0,666666666666667";"0,816496580927726";"1";
"безнадега";"-1,33333333333333";"0,471404520791032";"-1";
"безнадежный";"-1";"0,816496580927726";"-1";
"безнаказанность";"-0,888888888888889";"0,566557723732532";"-1";
"безнаказанный";"-1,66666666666667";"0,471404520791032";"-2";
"безнравственный";"-1,375";"0,484122918275927";"-1";
"безобидный";"1";"0";"1";
"безобразный";"-1,5";"0,5";"-2";
"безоговорочный";"0,25";"0,661437827766148";"0";
"безопасно";"1,66666666666667";"0,471404520791032";"2";
"безопасность";"1";"0";"1";
"безопасный";"0,888888888888889";"0,566557723732532";"1";
"безоружный";"0";"0";"0";
"безосновательный";"-1";"0,816496580927726";"-1";
"безответный";"-1,5";"0,5";"-2";
"безответственный";"-1,33333333333333";"0,471404520791032";"-1";
"безотказный";"-0,333333333333333";"1,69967317119759";"0";
"безотлагательный";"0";"0,816496580927726";"0";
"безошибочно";"0,333333333333333";"0,942809041582063";"0";
"безошибочный";"0,333333333333333";"0,942809041582063";"0";
"безработица";"-1,33333333333333";"0,471404520791032";"-1";
"безрадостный";"-1,33333333333333";"0,471404520791032";"-1";
"безразлично";"-1,33333333333333";"0,471404520791032";"-1";
"безразличный";"-0,666666666666667";"0,471404520791032";"-1";
"безрассудный";"-1";"0";"-1";
"безрезультатный";"-1";"0";"-1";
"безропотный";"-0,333333333333333";"0,471404520791032";"0";
"безудержный";"-0,25";"0,433012701892219";"0";
"безукоризненный";"1";"0";"1";
"безумие";"-1";"0";"-1";
"безумство";"-1";"0";"-1";
"безупречно";"1,66666666666667";"0,471404520791032";"2";
"безупречный";"1,11111111111111";"0,87488976377909";"1";
"безусловный";"0";"0";"0";
"безуспешный";"-1";"0";"-1";
"безучастный";"-1,33333333333333";"0,471404520791032";"-1";
"безыдейный";"-1,16666666666667";"0,372677996249965";"-1";
"безынициативный";"-1";"0";"-1";
"безысходность";"-0,75";"0,82915619758885";"-1";
"безысходный";"-1,33333333333333";"0,471404520791032";"-1";
"беларусь";"0";"0";"0";
"белгородский";"0";"0";"0";
"белград";"0";"0";"0";
"белогвардеец";"-0,333333333333333";"0,471404520791032";"0";
"белогвардейский";"0";"0";"0";
"белоруссия";"0";"0";"0";
"белорусский";"0";"0";"0";
"белосток";"0";"0";"0";
"бельгия";"0";"0";"0";
"бенгази";"0,111111111111111";"0,314269680527354";"0";
"бенедикт";"0";"0";"0";
"бережливый";"1";"0";"1";
"бережный";"0,666666666666667";"0,471404520791032";"1";
"берлин";"0";"0";"0";
"берлинский";"0";"0";"0";
"беситься";"-1";"0";"-1";
"бескомпромиссный";"-0,666666666666667";"0,942809041582063";"-1";
"бесконечность";"0,222222222222222";"0,916245694581702";"0";
"бесконечный";"0,333333333333333";"1,24721912892465";"0";
"бесконтрольный";"-1,25";"0,433012701892219";"-1";
"бескорыстный";"1,25";"0,82915619758885";"1";
"бескровный";"-0,166666666666667";"0,897527467855751";"0";
"бесперебойный";"0,666666666666667";"0,471404520791032";"1";
"бесперспективный";"-1";"0,632455532033676";"-1";
"беспечный";"-0,444444444444444";"0,955813918560292";"0";
"беспилотный";"0";"0";"0";
"бесплатный";"0";"0";"0";
"бесповоротный";"-0,666666666666667";"0,942809041582063";"-1";
"бесподобный";"1,66666666666667";"0,471404520791032";"2";
"беспозвоночный";"0";"0";"0";
"беспокойный";"-0,888888888888889";"0,566557723732532";"-1";
"беспокойство";"-1,33333333333333";"0,471404520791032";"-1";
"бесполезность";"-1,33333333333333";"0,471404520791032";"-1";
"бесполезный";"-1,33333333333333";"0,471404520791032";"-1";
"беспомощный";"-1,66666666666667";"0,471404520791032";"-2";
"беспорядок";"-1,33333333333333";"0,471404520791032";"-1";
"беспорядочный";"-1";"0,471404520791032";"-1";
"беспощадный";"-1,33333333333333";"0,666666666666667";"-1";
"бесправный";"-1";"0,816496580927726";"-1";
"беспредел";"-1";"0";"-1";
"беспредельный";"-0,25";"0,82915619758885";"0";
"беспрерывный";"-1";"0,816496580927726";"-1";
"беспрестанный";"-0,333333333333333";"0,471404520791032";"0";
"беспрецедентный";"0,5";"1,11803398874989";"0";
"беспризорник";"-0,666666666666667";"0,471404520791032";"-1";
"беспринципный";"-0,333333333333333";"1,24721912892465";"0";
"беспристрастный";"0,555555555555556";"0,496903994999953";"1";
"беспроигрышный";"1";"0";"1";
"беспросветный";"-2";"0";"-2";
"беспутный";"-1,25";"0,433012701892219";"-1";
"бессарабия";"0";"0";"0";
"бессердечный";"-1,33333333333333";"0,471404520791032";"-1";
"бессмертный";"2";"0";"2";
"бессмысленно";"-1";"0";"-1";
"бессмысленность";"-0,666666666666667";"0,471404520791032";"-1";
"бессмысленный";"-1";"0";"-1";
"бессмыслица";"-1";"0";"-1";
"бессовестный";"-1,33333333333333";"0,471404520791032";"-1";
"бессодержательный";"-0,666666666666667";"0,471404520791032";"-1";
"бесспорный";"0,666666666666667";"0,471404520791032";"1";
"бесстрашный";"1";"0";"1";
"бестактный";"-1";"0";"-1";
"бесталанный";"-1";"0";"-1";
"бестолковый";"-1,66666666666667";"0,471404520791032";"-2";
"бесхитростный";"0";"0,816496580927726";"0";
"бесхребетный";"-1";"0";"-1";
"бесцельный";"-1,33333333333333";"0,471404520791032";"-1";
"бесценный";"1,66666666666667";"0,471404520791032";"2";
"бесцеремонный";"-1,33333333333333";"0,471404520791032";"-1";
"бесчеловечный";"-1,33333333333333";"0,471404520791032";"-1";
"бесчестный";"-1";"0,816496580927726";"-1";
"бесчисленный";"0";"0,5";"0";
"бесчувственный";"-1,33333333333333";"0,471404520791032";"-1";
"бесшумный";"0,333333333333333";"0,471404520791032";"0";
"бешенство";"-1";"0,816496580927726";"-1";
"бешеный";"0";"1,4142135623731";"0";
"би-би-си";"0";"0";"0";
"библейский";"0";"0";"0";
"библиотека";"0,333333333333333";"0,471404520791032";"0";
"бизнес";"0";"0";"0";
"бизнесмен";"0";"0";"0";
"биньямин";"0";"0";"0";
"биографический";"0";"0";"0";
"биолог";"0";"0";"0";
"биология";"0";"0";"0";
"бирюлево";"0";"0";"0";
"бисексуал";"-0,666666666666667";"0,666666666666667";"-1";
"бисмарк";"0";"0";"0";
"битва";"-0,888888888888889";"0,737027731190089";"-1";
"бить";"-0,666666666666667";"0,471404520791032";"-1";
"бишкек";"0";"0";"0";
"благовещенский";"0";"0";"0";
"благовоспитанный";"1";"0";"1";
"благоговейный";"1,25";"0,433012701892219";"1";
"благодарить";"1,33333333333333";"0,471404520791032";"1";
"благодарность";"1,33333333333333";"0,471404520791032";"1";
"благодарственный";"1,33333333333333";"0,471404520791032";"1";
"благодать";"1";"0,816496580927726";"1";
"благожелательный";"0,833333333333333";"0,372677996249965";"1";
"благозвучный";"1";"0";"1";
"благой";"1";"0";"1";
"благополучно";"1,33333333333333";"0,471404520791032";"1";
"благополучный";"1,66666666666667";"0,471404520791032";"2";
"благоприятный";"1,66666666666667";"0,471404520791032";"2";
"благоразумный";"1";"0";"1";
"благородный";"1,33333333333333";"0,471404520791032";"1";
"благосклонный";"0,888888888888889";"0,566557723732532";"1";
"благословлять";"1,33333333333333";"0,471404520791032";"1";
"благосостояние";"0,333333333333333";"0,471404520791032";"0";
"благостный";"1,25";"0,433012701892219";"1";
"благотворитель";"1";"0";"1";
"благотворительность";"1";"0";"1";
"благотворительный";"1";"0";"1";
"благотворный";"1,66666666666667";"0,471404520791032";"2";
"благоустройство";"0,666666666666667";"0,471404520791032";"1";
"блаженный";"1,33333333333333";"0,471404520791032";"1";
"блаженство";"1,33333333333333";"0,471404520791032";"1";
"блатной";"-1,66666666666667";"0,471404520791032";"-2";
"блевать";"-1";"0,816496580927726";"-1";
"блевотина";"-2";"0";"-2";
"блеклый";"-0,666666666666667";"0,471404520791032";"-1";
"блекнуть";"-0,833333333333333";"0,372677996249965";"-1";
"блеск";"1,5";"0,5";"2";
"блестеть";"1";"0,816496580927726";"1";
"ближневосточный";"0";"0";"0";
"ближний";"0,666666666666667";"0,471404520791032";"1";
"близкий";"0,666666666666667";"0,471404520791032";"1";
"блистательный";"1,55555555555556";"0,496903994999953";"2";
"блистать";"-0,333333333333333";"0,942809041582063";"0";
"блокада";"-1";"0,816496580927726";"-1";
"блокадный";"-1";"0,816496580927726";"-1";
"блокирование";"-0,5";"0,5";"0";
"блокировать";"-0,444444444444444";"0,955813918560292";"0";
"блокироваться";"-0,75";"0,82915619758885";"-1";
"блокировка";"-0,333333333333333";"0,471404520791032";"0";
"блокпост";"0";"0";"0";
"блядство";"-2";"0";"-2";
"богатство";"0,5";"0,5";"0";
"богатый";"0,4";"1,01980390271856";"0";
"богатырский";"0,666666666666667";"0,471404520791032";"1";
"богобоязненный";"-0,666666666666667";"0,942809041582063";"-1";
"богомерзкий";"-2";"0";"-2";
"богослужебный";"0";"0";"0";
"богоугодный";"1,33333333333333";"0,471404520791032";"1";
"богоявленский";"0";"0";"0";
"бодрый";"1";"0";"1";
"боевой";"0";"0";"0";
"боеголовка";"-0,4";"0,489897948556636";"0";
"боеприпас";"-0,444444444444444";"0,496903994999953";"0";
"божеский";"0,666666666666667";"0,471404520791032";"1";
"божественный";"1";"0,471404520791032";"1";
"божий";"0";"0";"0";
"бой";"-0,333333333333333";"0,471404520791032";"0";
"бойкий";"0,333333333333333";"0,471404520791032";"0";
"бойня";"-1,88888888888889";"0,314269680527355";"-2";
"болгария";"0";"0";"0";
"болгарский";"0,25";"0,433012701892219";"0";
"болезненный";"-1";"0,632455532033676";"-1";
"болезный";"-1";"0";"-1";
"болезнь";"-0,75";"0,433012701892219";"-1";
"боливийский";"0";"0";"0";
"боливия";"0";"0";"0";
"болотный";"0";"0";"0";
"болтаться";"-0,5";"0,5";"0";
"болтливый";"-0,666666666666667";"0,471404520791032";"-1";
"болтовня";"-1";"0,666666666666667";"-1";
"больница";"0";"0,666666666666667";"0";
"больничный";"-0,333333333333333";"0,666666666666667";"0";
"большевизм";"0";"0";"0";
"большевик";"0";"0";"0";
"больший";"0,333333333333333";"0,471404520791032";"0";
"бомба";"-1,33333333333333";"0,471404520791032";"-1";
"бомбардировка";"-1,125";"0,927024810886958";"-1";
"бомбардировщик";"-0,714285714285714";"0,880630571852711";"-1";
"бомбежка";"-0,666666666666667";"0,471404520791032";"-1";
"бомбить";"-1,33333333333333";"0,471404520791032";"-1";
"бонус";"0";"0,816496580927726";"0";
"борец";"1";"0";"1";
"боржоми";"0,333333333333333";"0,471404520791032";"0";
"боровицкий";"0";"0";"0";
"бороться";"-0,333333333333333";"1,24721912892465";"0";
"борьба";"0";"0,632455532033676";"0";
"боснийский";"0";"0";"0";
"босния";"0";"0";"0";
"бостонский";"0";"0";"0";
"боязнь";"-1";"0,707106781186548";"-1";
"бразилия";"0";"0";"0";
"бразильский";"0";"0";"0";
"братоубийственный";"-1,33333333333333";"0,471404520791032";"-1";
"брежнев";"0";"0";"0";
"брежневский";"0";"0";"0";
"брезговать";"-1,33333333333333";"0,471404520791032";"-1";
"бренный";"-0,666666666666667";"0,471404520791032";"-1";
"брестский";"0,333333333333333";"0,666666666666667";"0";
"бригада";"0";"0";"0";
"бриллиантовый";"0,333333333333333";"0,471404520791032";"0";
"британский";"0";"0";"0";
"брифинг";"0";"0";"0";
"бродяга";"-1";"0";"-1";
"бронебойный";"0";"0";"0";
"бронетехника";"0";"0";"0";
"броский";"0,333333333333333";"0,942809041582063";"0";
"брутальный";"0,333333333333333";"0,942809041582063";"0";
"брызги";"0";"0";"0";
"брэдли";"0";"0";"0";
"брюссель";"0";"0";"0";
"брянский";"0";"0";"0";
"буддизм";"0,222222222222222";"0,628539361054709";"0";
"буйный";"-0,6";"1,01980390271856";"-1";
"буквальный";"0";"0";"0";
"бульвар";"0";"0";"0";
"бульварный";"0";"0";"0";
"бульдозер";"-0,166666666666667";"0,372677996249965";"0";
"бумага";"-0,25";"0,433012701892219";"0";
"бумажка";"-0,333333333333333";"0,816496580927726";"0";
"бунтовать";"-1,33333333333333";"0,471404520791032";"-1";
"буржуазия";"-0,75";"0,433012701892219";"-1";
"буржуазный";"-0,333333333333333";"0,471404520791032";"0";
"буржуй";"-1,25";"0,82915619758885";"-1";
"бутырский";"-0,333333333333333";"0,471404520791032";"0";
"бухать";"-1,66666666666667";"0,471404520791032";"-2";
"бухгалтерский";"0";"0";"0";
"бывалый";"0,857142857142857";"0,349927106111883";"1";
"быдло";"-1,66666666666667";"0,74535599249993";"-2";
"былина";"0";"0";"0";
"былой";"0";"0";"0";
"быстроразвивающийся";"0";"0,816496580927726";"0";
"быстрорастущий";"0,777777777777778";"0,628539361054709";"1";
"быстрый";"0,666666666666667";"0,471404520791032";"1";
"бытие";"0";"0";"0";
"бытность";"0";"0";"0";
"бытовой";"0";"0";"0";
"бюллетень";"0";"0";"0";
"бюргер";"0";"0";"0";
"бюро";"0";"0";"0";
"бюрократ";"-1";"0,816496580927726";"-1";
"бюрократический";"-0,333333333333333";"0,471404520791032";"0";
"бюрократия";"-0,666666666666667";"0,942809041582063";"-1";
"вадим";"0";"0";"0";
"важно";"0";"0";"0";
"важность";"0,5";"0,5";"0";
"важный";"0";"0";"0";
"вакантный";"0,333333333333333";"0,666666666666667";"0";
"вакцинация";"0";"0";"0";
"валентин";"0";"0";"0";
"вальтер";"0";"0";"0";
"валюта";"0";"0";"0";
"валютный";"-0,333333333333333";"0,471404520791032";"0";
"ванкувер";"0";"0";"0";
"варварский";"-1";"0,471404520791032";"-1";
"вариант";"0";"0";"0";
